"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
426 28.453 "A3" "Late" "6" "C4"
427 23.097 "A3" "Late" "7" "C4"
428 33.475 "A3" "Late" "8" "C4"
429 11.870 "A3" "Washout" "9" "C4"
430 5.342 "A3" "Washout" "10" "C4"
431 7.060 "A3" "Washout" "11" "C4"
432 5.414 "A3" "Washout" "12" "C4"
433 26.265 "A3" "Early" "1" "C5"
434 43.885 "A3" "Early" "2" "C5"
435 48.837 "A3" "Early" "3" "C5"
436 49.896 "A3" "Early" "4" "C5"
437 53.705 "A3" "Late" "5" "C5"
438 54.664 "A3" "Late" "6" "C5"
439 54.418 "A3" "Late" "7" "C5"
440 46.569 "A3" "Late" "8" "C5"
441 5.387 "A3" "Washout" "9" "C5"
442 4.418 "A3" "Washout" "10" "C5"
443 3.612 "A3" "Washout" "11" "C5"
444 2.025 "A3" "Washout" "12" "C5"
445 18.948 "A3" "Early" "1" "C6"
446 17.088 "A3" "Early" "2" "C6"
447 37.969 "A3" "Early" "3" "C6"
448 38.573 "A3" "Early" "4" "C6"
449 21.976 "A3" "Late" "5" "C6"
450 38.788 "A3" "Late" "6" "C6"
451 28.806 "A3" "Late" "7" "C6"
452 25.947 "A3" "Late" "8" "C6"
453 4.916 "A3" "Washout" "9" "C6"
454 2.303 "A3" "Washout" "10" "C6"
455 2.909 "A3" "Washout" "11" "C6"
456 4.260 "A3" "Washout" "12" "C6"
457 30.589 "A3" "Early" "1" "C7"
458 24.110 "A3" "Early" "2" "C7"
459 41.626 "A3" "Early" "3" "C7"
460 34.741 "A3" "Early" "4" "C7"
461 34.069 "A3" "Late" "5" "C7"
462 31.837 "A3" "Late" "6" "C7"
463 57.586 "A3" "Late" "7" "C7"
464 54.301 "A3" "Late" "8" "C7"
465 2.444 "A3" "Washout" "9" "C7"
466 1.465 "A3" "Washout" "10" "C7"
467 0.778 "A3" "Washout" "11" "C7"
468 2.441 "A3" "Washout" "12" "C7"
469 6.817 "A3" "Early" "1" "C8"
470 19.501 "A3" "Early" "2" "C8"
471 28.683 "A3" "Early" "3" "C8"
472 29.478 "A3" "Early" "4" "C8"
473 27.421 "A3" "Late" "5" "C8"
474 30.758 "A3" "Late" "6" "C8"
475 36.291 "A3" "Late" "7" "C8"
476 22.851 "A3" "Late" "8" "C8"
477 4.890 "A3" "Washout" "9" "C8"
478 4.545 "A3" "Washout" "10" "C8"
479 5.921 "A3" "Washout" "11" "C8"
480 4.445 "A3" "Washout" "12" "C8"
481 1.073 "A3" "Early" "1" "C9"
482 13.632 "A3" "Early" "2" "C9"
483 23.821 "A3" "Early" "3" "C9"
484 31.219 "A3" "Early" "4" "C9"
485 31.344 "A3" "Late" "5" "C9"
486 27.687 "A3" "Late" "6" "C9"
487 18.123 "A3" "Late" "7" "C9"
488 31.274 "A3" "Late" "8" "C9"
489 1.837 "A3" "Washout" "9" "C9"
490 4.088 "A3" "Washout" "10" "C9"
491 -2.128 "A3" "Washout" "11" "C9"
492 3.351 "A3" "Washout" "12" "C9"
493 20.551 "A3" "Early" "1" "C10"
494 48.093 "A3" "Early" "2" "C10"
495 51.606 "A3" "Early" "3" "C10"
496 45.260 "A3" "Early" "4" "C10"
497 10.134 "A3" "Late" "5" "C10"
498 26.903 "A3" "Late" "6" "C10"
499 32.516 "A3" "Late" "7" "C10"
500 12.446 "A3" "Late" "8" "C10"
501 6.099 "A3" "Washout" "9" "C10"
502 1.128 "A3" "Washout" "10" "C10"
503 0.700 "A3" "Washout" "11" "C10"
504 2.207 "A3" "Washout" "12" "C10"
505 -3.617 "A3" "Early" "1" "C11"
506 32.840 "A3" "Early" "2" "C11"
507 45.180 "A3" "Early" "3" "C11"
